year,cyano,chla,colour,colour_prevSummer,rain
1996,4.8,21.3,17.666666666666668,25.83333333333333,449.609512642
1997,2.82,23.066666666666663,19.0,17.666666666666668,420.429376263
1998,2.28,21.1,34.71153846153846,19.0,519.280270018
1999,5.96,21.633333333333333,50.42307692307692,34.71153846153846,630.476421443
2000,4.67,22.166666666666668,42.56,50.42307692307692,617.658009878
2001,0.58,21.03333333333333,68.70370370370371,42.56,511.777686395
2002,0.982,25.5,54.57692307692308,68.70370370370371,549.788892476
2003,1.291,16.821428571428573,42.875,54.57692307692308,415.380321548
2004,5.26,25.6,38.66666666666666,42.875,558.396489496
2005,3.0626,20.2,46.5,38.66666666666666,471.970340091
2006,4.5602,29.15416666666667,48.333333333333336,46.5,535.903365983
2007,3.588,17.944000000000003,65.71428571428571,48.333333333333336,555.647754243
2008,0.739,15.8875,69.0,65.71428571428571,591.631903338
2009,1.586,16.343478260869563,58.285714285714285,69.0,489.809454496
2010,0.224,11.695652173913045,61.71428571428572,58.285714285714285,564.488533628
2011,0.079,12.188,72.23076923076923,61.71428571428572,732.345966237
2012,0.211,13.520833333333334,64.0,72.23076923076923,630.389545747
2013,0.534,14.13846153846154,60.22307692307693,64.0,500.999999296
2014,0.283,12.6,41.86363636363637,60.22307692307693,626.7322040829999
2015,0.233,14.925,52.833333333333336,41.86363636363637,686.892707279
2016,0.166,9.590909090909092,52.0,52.833333333333336,408.035955162
2017,0.258,12.866666666666667,42.0,52.0,570.221294752
2018,0.614,10.741666666666667,36.333333333333336,42.0,312.80900277
