Date,Pptn,Temp,Wind_speed,Q,TP_catch,chl-a_lake,TP_lake,colour_lake,CyanoBiovol,Rain_day,Pptn_intense,Wind_under_Q0.2,Wind_under_Q0.4,Wind_over_Q0.6,Wind_over_Q0.8,Season,Pptn_lag1,Temp_lag1,Wind_speed_lag1,Q_lag1,Rain_day_lag1,Pptn_intense_lag1,Wind_under_Q0.2_lag1,Wind_under_Q0.4_lag1,Wind_over_Q0.6_lag1,Wind_over_Q0.8_lag1,TP_lake_prevSummer,colour_lake_prevSummer,chl-a_lake_prevSummer,Temp_prevSummer,CyanoBiovol_prevSummer
1996-10-31,458.782144017,12.502697058972824,3.5244565217391304,50.7675168,107.784,21.3,31.28333333333333,17.666666666666668,4.8,57.0,16.0,32.0,71.0,70.0,31.0,summ,134.742575918,-2.2103977453021977,2.1384615384615384,29.4095232,30.0,2.0,87.0,128.0,26.0,10.0,29.45,25.83333333333333,21.883333333333336,13.361027301190216,
1997-10-31,420.414229542,13.631344141190215,3.231521739130435,26.853120000000004,45.54615384615385,23.066666666666663,29.416666666666668,19.0,2.82,55.0,16.0,30.0,78.0,51.0,23.0,summ,311.334889882,0.1115969699281767,3.4972375690607733,81.94115520000001,45.0,12.0,49.0,73.0,76.0,46.0,31.28333333333333,17.666666666666668,21.3,12.502697058972824,4.8
1998-10-31,520.147169157,12.169185304233697,3.488586956521739,54.5360256,65.75,21.1,32.36666666666667,,2.28,77.0,15.0,13.0,63.0,61.0,26.0,summ,401.137416491,1.379369307801105,3.287292817679558,87.60372480000001,68.0,12.0,45.0,86.0,63.0,28.0,29.416666666666668,19.0,23.066666666666663,13.631344141190215,2.82
1999-10-31,636.833939021,12.94750359354348,3.5309782608695657,73.48320000000001,99.4,,,50.42307692307692,5.96,71.0,23.0,31.0,63.0,66.0,37.0,summ,491.468229009,0.491520435198895,3.1801104972375693,130.2381504,70.0,19.0,54.0,96.0,54.0,39.0,32.36666666666667,,21.1,12.169185304233697,2.28
2000-10-31,621.651733148,13.053145366222823,3.6114130434782608,60.6621312,64.11111111111111,22.166666666666668,32.666666666666664,42.56,4.67,77.0,20.0,16.0,62.0,71.0,35.0,summ,426.03206364,1.8541793855384612,3.802747252747253,97.1623296,60.0,10.0,36.0,72.0,69.0,45.0,,50.42307692307692,,12.94750359354348,5.96
2001-10-31,518.289505818,13.596588449016306,3.664130434782609,53.7383808,58.5,21.03333333333333,38.333333333333336,68.42307692307692,0.58,68.0,17.0,25.0,54.0,65.0,34.0,summ,755.111414006,0.6037190148066298,3.035359116022099,199.8123552,88.0,29.0,59.0,99.0,54.0,37.0,32.666666666666664,42.56,22.166666666666668,13.053145366222823,4.67
2002-10-31,535.578266566,13.788289100266304,3.257065217391304,49.3787232,45.0,25.5,36.66666666666666,54.57692307692308,0.982,56.0,17.0,37.0,84.0,58.0,28.0,summ,316.137062142,1.286752237486188,3.46353591160221,71.3125728,53.0,9.0,42.0,74.0,65.0,39.0,38.333333333333336,68.42307692307692,21.03333333333333,13.596588449016306,0.58
2003-10-31,413.40980962,13.137673337038043,3.493478260869565,27.777600000000003,48.16666666666666,16.821428571428573,33.57142857142857,42.875,1.291,66.0,9.0,22.0,60.0,65.0,28.0,summ,367.211750983,-1.009797482475138,3.146408839779005,63.703411200000005,46.0,15.0,59.0,94.0,57.0,33.0,36.66666666666666,54.57692307692308,25.5,13.788289100266304,0.982
2004-10-31,558.396489496,13.18853907384239,3.5329411764705885,46.53659520000001,,25.6,36.833333333333336,38.66666666666666,5.26,70.0,21.0,22.0,63.0,63.0,27.0,summ,429.965166831,1.5004431290439562,3.055147058823529,68.3561376,65.0,13.0,42.0,69.0,38.0,19.0,33.57142857142857,42.875,16.821428571428573,13.137673337038043,1.291
2005-10-31,471.919824867,13.318132972016304,3.465497076023392,30.5823168,44.54545454545455,20.2,32.01086956521739,46.5,3.0626,67.0,18.0,23.0,58.0,62.0,23.0,summ,260.43261773,1.662619689314917,3.4981250000000004,55.95255360000001,47.0,8.0,44.0,75.0,58.0,39.0,36.833333333333336,38.66666666666666,25.6,13.18853907384239,5.26
2006-10-31,533.370308277,15.004680520597828,3.062295081967213,46.985356800000005,24.0,29.15416666666667,34.5,48.333333333333336,4.5602,67.0,20.0,27.0,92.0,47.0,16.0,summ,417.380074645,-0.0933065960331491,3.1287292817679555,86.9787936,69.0,9.0,50.0,92.0,54.0,33.0,32.01086956521739,46.5,20.2,13.318132972016304,3.0626
2007-10-31,556.130432226,13.48892281189674,3.403314917127072,51.2744256,111.19565217391305,17.944000000000003,32.16,64.66666666666667,3.588,66.0,17.0,32.0,77.0,59.0,35.0,summ,554.430338253,3.27745156239779,3.605524861878453,147.762144,68.0,17.0,32.0,71.0,71.0,42.0,34.5,48.333333333333336,29.15416666666667,15.004680520597828,4.5602
2008-10-31,590.597540865,13.566730900315218,3.0904494382022474,58.646505600000005,51.407407407407405,15.8875,32.75,69.0,0.739,60.0,25.0,35.0,91.0,45.0,21.0,summ,602.704160584,2.5794611579835163,3.536111111111111,154.0492992,70.0,18.0,35.0,69.0,68.0,40.0,32.16,64.66666666666667,17.944000000000003,13.48892281189674,3.588
2009-10-31,490.614022418,13.365969683451087,3.2086956521739127,39.5095968,45.79166666666666,16.343478260869563,28.956521739130437,58.285714285714285,1.586,64.0,13.0,36.0,76.0,56.0,23.0,summ,327.03343826,1.2261317365303868,2.803867403314917,104.709024,50.0,11.0,57.0,105.0,45.0,21.0,32.75,69.0,15.8875,13.566730900315218,0.739
2010-10-31,563.278236902,13.09134036158152,3.279234972677596,64.743408,95.66666666666669,11.695652173913045,26.347826086956523,61.71428571428572,0.224,65.0,20.0,35.0,74.0,58.0,20.0,summ,385.593348284,-1.2944913109502765,2.8220994475138124,100.4592672,60.0,14.0,55.0,103.0,39.0,19.0,28.956521739130437,58.285714285714285,16.343478260869563,13.365969683451087,1.586
2011-10-31,733.474577136,13.863031565967392,3.3375,96.554592,66.52,12.188,26.56,72.88888888888889,0.079,83.0,26.0,25.0,75.0,61.0,20.0,summ,256.402740425,-1.691101258878453,2.91878453038674,67.2545376,43.0,6.0,57.0,101.0,49.0,24.0,26.347826086956523,61.71428571428572,11.695652173913045,13.09134036158152,0.224
2012-10-31,645.735078393,12.654558081331524,3.631868131868132,80.2339776,49.81481481481482,13.8,26.39130434782609,64.15384615384616,0.211,88.0,21.0,11.0,52.0,74.0,33.0,summ,359.589193785,2.329392797236264,3.33646408839779,57.21943680000001,45.0,13.0,45.0,89.0,59.0,35.0,26.56,72.88888888888889,12.188,13.863031565967392,0.079
2013-10-31,504.924783321,13.822565844711958,3.5597826086956523,61.4052576,74.2,14.13846153846154,22.99230769230769,60.22307692307693,0.534,70.0,13.0,20.0,58.0,75.0,27.0,summ,296.692274846,-0.972191035513812,3.6737430167597767,84.35992320000001,52.0,6.0,27.0,64.0,69.0,43.0,26.39130434782609,64.15384615384616,13.8,12.654558081331524,0.211
2014-10-31,633.60397944,14.482812506918478,3.508839779005525,74.5803936,79.4,12.6,20.3,41.86363636363637,0.283,79.0,19.0,12.0,75.0,56.0,33.0,summ,601.486564333,3.2581813269779003,4.390555555555555,156.1989312,88.0,20.0,17.0,45.0,96.0,68.0,22.99230769230769,60.22307692307693,14.13846153846154,13.822565844711958,0.534
2015-10-31,684.936514938,12.708488337597826,3.7690217391304346,84.94632,81.0,14.925,24.25,52.833333333333336,0.233,66.0,22.0,17.0,53.0,87.0,34.0,summ,486.385309103,2.7220371070110496,3.9613259668508287,124.44140160000002,67.0,16.0,17.0,49.0,90.0,43.0,20.3,41.86363636363637,12.6,14.482812506918478,0.283
2016-10-31,396.82371279,14.037477630875,3.7516304347826086,19.8284544,63.61538461538461,9.590909090909092,18.75,52.0,0.166,59.0,11.0,13.0,45.0,84.0,40.0,summ,489.645723018,1.761570162785714,3.703296703296704,108.6889536,72.0,19.0,33.0,70.0,75.0,43.0,24.25,52.833333333333336,14.925,12.708488337597826,0.233
2017-10-31,570.221294752,13.359368496119568,3.705434782608696,68.07525120000001,77.92857142857143,12.866666666666667,19.666666666666668,42.0,0.258,76.0,20.0,9.0,55.0,75.0,36.0,summ,299.217857109,1.9358570883701656,3.674033149171271,61.3757088,45.0,12.0,33.0,63.0,71.0,44.0,18.75,52.0,9.590909090909092,14.037477630875,0.166
